"Freq [GHz]","dB(S(1,1)) []"
2,-5.40004909846354
2.1,-7.29474867724499
2.2,-9.39818786493244
2.3,-11.339208865784
2.4,-12.454426828805
2.5,-12.2793379068232
2.6,-11.0396102207134
2.7,-8.95947818058182
2.8,-5.71668584459729
2.9,-3.70276986663559
3,-6.40454969757663
3.1,-8.1222801559946
3.2,-8.79429515947835
3.3,-9.07870784162115
3.4,-9.23933728038105
3.5,-9.37267573201278
3.6,-9.51445533830217
3.7,-9.67480116059173
3.8,-9.84298427383785
3.9,-9.95740201285172
4,-9.76053292270981
4.1,-8.37363096924333
4.2,-5.67058799101245
4.3,-5.77752815413574
4.4,-7.01548937495495
4.5,-7.87936421173879
4.6,-8.44003732495998
4.7,-8.81117664102586
4.8,-9.03166891288532
4.9,-9.06081147546903
5,-8.70722570783293
